id,unique_id,nickname,signature,verified,num_following,num_followers,num_videos,num_likes,createtime,scraping_status
7314382345419129862,.edukasikesehatan,MADU.ASLI,"",false,1,22700,1722,216500,2023-12-19T18:59:09.000000+0000,Public
6771721726502929414,abdullah_yw,عبدالله العلاوي,أعيش ببطء 🧠 | للأعمال: 0506788878 | رابط البايو 👇🏻,true,193,3100000,1735,49900000,2019-12-18T10:18:48.000000+0000,Public
7274645544453981190,aboveboardskincare,ABOVEBOARD SKINCARE,BPOM & HALAL CERTIFIED. Honest skincare without overclaim & fear-mongering.,false,1,263000,35,662500,2023-09-03T17:00:04.000000+0000,Public
7098948585736029186,adadoktergigi,Klinik Gigi Ada Dokter Gigi,IG : @adadoktergigi @gracety.shabrina Edukasi&layanan perawatan gigi Ditangani oleh dokter gigi berizin 📍Kota Bandung 📲 RSVP WA resmi di bawah,false,232,25800,782,534700,2022-05-18T05:46:08.000000+0000,Public
6784718409063515138,adengrhni,adeee,"if anything, DM ✨",false,135,13100,878,184300,2020-01-22T10:52:34.000000+0000,Public
6839023630983414786,adityaspratamaa,dr. Aditya,"",true,989,1200000,1129,28100000,2020-06-16T19:04:33.000000+0000,Public
6756707119401550849,akupintar.id,Aku Pintar,Bantu Temukan Potensi Terbaik Siswa dengan AkuPintar+  Lebih Terarah dan Siap Dampingi Kapanpun 🎓 👇🏻 Daftar dan Coba Semua Fiturnya! 👇🏻,false,6,232700,1664,6400000,2019-11-07T23:14:27.000000+0000,Public
7400022119075677189,alifperatama84,𝕋𝕦𝕒𝕟 𝕞𝕦𝕕𝕒,"📌, untuk menghibur orang ☺️🤗 ⬇️ ⬇️ ☑️Terimakasih banyak orang² baik sudah mendukung saya sejauh ini ☺️☺️",false,25,31000,531,452000,2024-08-06T13:45:13.000000+0000,Public
6645562619456438273,aliphildan,Doklip✨ | Alip Hildan,📍JKT Doklip dari universe lain🤸🏻‍♂️🪐 kadang dokter kadang pasien,false,250,408100,1066,35700000,2019-01-12T10:57:02.000000+0000,Public
6787626300091991042,alodokter.id,Alodokter,"Chat Bersama Dokter, Respons Cepat Jawaban Akurat. Download Alodokter Sekarang!",true,1,486700,676,2200000,2020-01-30T06:56:40.000000+0000,Public
6763121762642854914,alyaawinata,dr. alya winata✨,Medical Doctor🩺 click link for business inq📮,false,555,10000,326,952400,2019-11-25T06:06:33.000000+0000,Public
