username,jumlah_video
roozzaak,546
bidancynthia,481
drkevinmak,466
aymanalts,456
dokter_ika,453
ikhsanqthii,425
nadialaydrus,345
aliphildan,267
dr.saddam_ismail,260
guru.bidan.wulan,255
tirtacipeng,251
dokter.harmonospanak,214
itsdoktermuda,187
ekidarehanf,187
doktermedok,182
fauzaannibras,179
dokteramiraobgyn,177
giapratamamd,139
doktermatahendra,119
dr.zulvia.syarif.spkj,119
dokternadiyah,115
reisabrotoasmoro,113
gelarsramdhani,111
drrichardlee,100
dr.ziee,97
dionharyadi,77
wishdrboyke,75
jiemiardian,70
doktervito,66
putriemje,53
drhans_spesialisanak,49
dr.deamaulidia,42
jamilatussadiyah,39
drgfira,34
drluckyspa,33
dr.mariojohan,28
dr.ndreamon,27
zickyneuro,21
dokter.reni.anak,20
dokterprasadja,19
meta.hanindita,15
spesialist.kesehatan,10
nisaobgyn,10
farhanzubedi,5
doktergigitantri,1
citra_amelinda,1
