username,following,followers,likes,bio,display_name,is_verified,avatar_url,scraped_at
aliphildan,257,421800,38700000,📍JKT Doklip dari universe lain🤸🏻‍♂️🪐 kadang dokter kadang pasien,Doklip✨ | Alip Hildan,False,,2026-09-02T10:16:10.489466
aymanalts,352,2000000,186400000,dr. Ayman Alatas Sp.MK Skin and Gut Microbiome expert,Ayman Alatas,False,,2026-09-03T10:02:49.704974
dionharyadi,80,502300,18800000,👇Business/Event Inquiries WA 0823‑8172‑8283 (Valent)👇,dr. Dion Haryadi,False,,2026-09-03T14:30:17.042184
dokter.reni.anak,166,29400,135600,✨Dokter Spesialis Anak & Konselor Laktasi✨ Praktek: Jl Batununggal Mulia XII no 44 Bandung. Reservasi (adm): 0895-35188-4622,"dr. Reni Fahriani, SpA",False,,2026-09-03T17:46:07.600555
dokter_ika,187,2600000,65300000,Kulit Sehat bersama dr.Ika STOP Penyalahgunaan obat keras Awas Merkuncrit ☠️ SEHAT YUK ❤️,dr. Ika,False,,2026-09-03T18:02:12.957856
dokteramiraobgyn,376,2300000,59700000,Dokter obgyn pedalaman RSUD Fakfak Papua Barat IG: AMIRAALI (amira.abdat19),"dr.Amira,SpOG",False,,2026-09-03T18:31:13.856662
doktergigitantri,66,30700,863000,"Do what’s right, not what’s usual🫶🏻 ❌No online consults❌ Dental care happens in person, not in DMs",Drg.Tantri,False,,2026-09-04T00:29:31.016080
doktermatahendra,0,154100,540500,👁️ Bikin mata tetap sehat sampai tua 🎥 Edukasi kesehatan mata 👍 Bantu 10.000+ mata 👨🏻‍⚕️ LASIK | SMILE | Katarak | Retina 📍Makassar | WA👇 082151116141,doktermatahendra,False,,2026-09-04T00:34:27.861765
dr.deamaulidia,1285,29400,501300,Hobi Jalan2 sama bocil 💕 dokter Konsultan Laktasi & Konselor MPASI Sharing seputar Ibu dan Bayi IG: @deamaulidia Konsultasi klik ⬇️,dr.Dea♥️ Dokter Laktasi,False,,2026-09-04T07:51:54.858151
dr.ziee,10,1800000,63400000,"Skincare,Aesthetic Expert & Millenial Mom CP : Christina-081337466678","dr. Yessica Tania,dpl AAAM",False,,2026-09-04T08:21:18.514516
drgfira,214,21700,656200,🦷A Passionate Mom-Dentist 📍Malang | 0857-0480-6174,drg. Fira | Dokter Gigi Malang,False,,2026-09-04T09:23:39.484332
