username,video_id,description,predicted_label,predicted_confidence,actual_label,correct,method
drkevinmak,7640789328888745234,"Buat kamu yang tiap hari belom mulai kerja aja udah capek, ati2 kecolongan dan kekurangan vitamin D!",health,0.95,health,True,ollama_enhanced
drkevinmak,7659978009771822344,"Nggak semua buah itu sama, apalagi kalau lagi diet. Masih pakai susu kental manis? Saatnya lebih cer",health,0.95,health,True,ollama_enhanced
drkevinmak,7668524029321514247,Stop kebiasaan gigit atau nyemil es! Ini bukan kebiasaan yang bagus dan bisa jadi tanda ada sesuatu ,health,0.95,health,True,ollama_enhanced
drkevinmak,7668333249504251154,Kalau kamu sering keram saat tidur ga? Coba komen dan jangan lupa tambahkan magnesium rutin untuk me,health,0.95,health,True,ollama_enhanced
drkevinmak,7600727329047956754,Replying to @momo kalau kamu udah rutin makan makanan ini buat keputihan belom? #keputihan #rekomend,health,0.95,health,True,ollama_enhanced
drkevinmak,7667223576428186898,"Please jangan abaikan gejala2 ini ya! Buanyak banget yang ujung2 nya kecolongan, kalau kamu paling s",health,0.95,health,True,ollama_enhanced
drkevinmak,7666849220871130386,Kalau kamu ada tanda2 yang mana nih? Coba komen dibawah ya 🫡 #infokesehatan #vitaminb12 #kesemutan #,health,0.95,health,True,ollama_enhanced
drkevinmak,7596231024904834322,Vitamin D3 membantu penyerapan kalsium untuk tulang dan gigi yang kuat. Vitamin K2 membantu mengarah,health,0.95,health,True,ollama_enhanced
drkevinmak,7598010669388123410,"Aku sering jemuran, masih perlu vitamin D nggak?” Jawabannya: bisa iya, bisa nggak. Karena vitamin D",health,0.95,health,True,ollama_enhanced
drkevinmak,7638534392360553746,"Blind ranking vitamin buat bantu kualitas tidur, menurut kamu mana yang paling worth it? Coba komen ",health,0.95,health,True,ollama_enhanced
drkevinmak,7652257918779198738,"Kalian yang baru lari bentar tapi udah sering cedera? 🏃‍♂️ Selain latihan dan recovery yang tepat, j",health,0.95,health,True,ollama_enhanced
drkevinmak,7626039347975884039,"Sering cepet capek, gampang flu, atau rambut mulai rontok? Banyak orang langsung minum vitamin… tapi",health,0.95,health,True,ollama_enhanced
drkevinmak,7646364453918838034,Usia 25 tahun tapi masih sering tidur mangap? Jangan dianggap sepele. Karena tidur mangap bisa menja,health,0.95,health,True,ollama_enhanced
drkevinmak,7597427585961807122,Bantu keluhan keputihan kamu dengan rutin probiotik 1-2 hari sekali ya! Jangan diantepin karena past,health,0.95,health,True,ollama_enhanced
drkevinmak,7626260623319469319,"“Mata udah ngantuk… tapi pikiran nggak berhenti Badan capek, tapi otak masih ‘on’. Kadang bukan over",health,0.95,health,True,ollama_enhanced
drkevinmak,7668521223537691922,"Kaum jompo, plis… Bukan kopi solusinya kalau kamu sering migrain. Jangan cuma diakalin pakai kafein ",health,0.95,health,True,ollama_enhanced
drkevinmak,7618391669913783570,"Sakit haid sering dianggap “lebay” Padahal buat banyak wanita, nyerinya bisa bener-bener mengganggu ",health,0.95,health,True,ollama_enhanced
drkevinmak,7620114400501976328,Replying to @seojoonn_8 Umur 18 masih bisa nambah tinggi ga? Ini pertanyaan yang sering banget muncu,health,0.95,health,True,ollama_enhanced
drkevinmak,7675634497290816786,"Buat kamu yang sering lari, jangan cuma fokus latihan dan makan. Pastikan kebutuhan magnesium juga t",health,0.95,health,True,ollama_enhanced
drkevinmak,7628262920190741767,"Luka kecil sering diremehkan, padahal kalau dibiarkan bisa jadi luka besar dan lama sembuh. Jangan t",health,0.95,health,True,ollama_enhanced
drkevinmak,7642527056118451464,Hp aku dimana ya Hp kok tdi di tas ga ada ya? Buat kamu yang sering ngomong gini ke temen pasangan a,health,0.85,health,True,ollama_enhanced
drkevinmak,7595544808161053970,Kalau kamu tim astaxanhin atau glutathione? Atau jangan2 udah dua2 nya nih? #infokesehatan #astaxant,health,0.95,health,True,ollama_enhanced
drkevinmak,7668572882980670728,Kalau kamu biasa bawa vitamin apa saat travelling? #vitamin #rekomendasivitamin #vitaminpemula #dosi,health,0.95,not_health,False,ollama_enhanced
drkevinmak,7631100649756757266,"Cepet capek, susah fokus… banyak yang kira cuma kurang tidur atau kebanyakan kerja 😵‍💫 Padahal bisa ",health,0.95,health,True,ollama_enhanced
drkevinmak,7604822591093837064,Replying to @Kikoo 🧊 kalau kamu udah rutin minum magnesium glycinate? Coba spill pengalaman kamu dib,health,0.95,health,True,ollama_enhanced
drkevinmak,7592092873735032072,Hayo udah berapa resep MPASI yang udah kamu ikutin? 🥶 #infokesehatan #mpasi #dokter #probiotik #proe,health,0.95,health,True,ollama_enhanced
drkevinmak,7631595770063473927,Replying to @user6266264743800 Kalau minum magnesium malah bikin sembelit… kemungkinan kamu salah pi,health,0.95,health,True,ollama_enhanced
drkevinmak,7627129495513910546,"Semakin dewasa, ternyata yang kita lawan bukan orang lain… tapi pikiran sendiri. Overthinking soal m",health,0.95,health,True,ollama_enhanced
drkevinmak,7599661696671583495,Kalau kamu masih sering keputihan ga sih? Coba spill pengalaman kamu di komen ya ✅ #infokesehatan #k,health,0.95,health,True,ollama_enhanced
drkevinmak,7601426603155000594,Muka kusam pas puasa? Sering disangka salah skincare… padahal masalahnya dari dalam. Skincare pentin,health,0.95,health,True,ollama_enhanced
drkevinmak,7677972703801822482,"Buat kamu yang nggak mau ribet cari Vitamin D3 dan K2 terpisah, bisa pilih D3K2 dalam satu produk. L",health,0.95,health,True,ollama_enhanced
drkevinmak,7614384577645268242,Kalau kamu udah rutin minum magnesium jenis apa nih? Coba komen dong ✅ #magnesium #overthinking #ins,health,0.95,health,True,ollama_enhanced
drkevinmak,7634094779818593554,"Replying to @mahesa Udah capek seharian, tapi pas mau tidur otak masih ‘meeting’? 😵‍💫 Bisa jadi buka",health,0.95,health,True,ollama_enhanced
drkevinmak,7628221405292776722,Kalau kamu punya tanda2 ini ga? Semoga rejeki taun ini lancar selalu dan berlimpah ya aminn!! #infok,health,0.85,not_health,False,ollama_enhanced
drkevinmak,7677974633685077256,Remaja butuh vitamin apa? Salah satu yang penting diperhatikan adalah vitamin D. Vitamin D3 berperan,health,0.95,health,True,ollama_enhanced
drkevinmak,7594733232348843282,"Kalau kamu sering keputihan tiap hari ga sih? Coba komen pengalaman kamu dibawah, jangan lupa follow",health,0.95,health,True,ollama_enhanced
drkevinmak,7668520978540006663,"Buat kamu yang sering nyeri kepala sampai terasa ketarik begini, jangan diabaikan ya. Plis tonton sa",health,0.95,health,True,ollama_enhanced
drkevinmak,7598911369731165448,Replying to @Rista Safitri K Jangan salah lagi minum probiotik ❌ Karena probiotik itu bukan asal min,health,0.95,health,True,ollama_enhanced
drkevinmak,7664387335143886087,"Sering lupa, apalagi kalau sudah jadi ibu? Bisa jadi bukan cuma karena sibuk, tapi tubuhmu sedang ke",health,0.95,health,True,ollama_enhanced
drkevinmak,7673149526911307026,"Rambut rontok? Jangan asal pilih vitamin ya! Cari tahu dulu penyebabnya, baru pilih vitaminnya. Shar",health,0.95,health,True,ollama_enhanced
ikhsanqthii,7664566116483747089,#stitch with @kakgektik demikian sekilas ingfo 👍,not_health,0.85,health,False,ollama_enhanced
ikhsanqthii,7674823033097374996,😭😭😭,not_health,0.0,not_health,True,no_caption_learned
ikhsanqthii,7680151185113763092,Hospital Play-Play Eps. 05 | Kucek Mata Bikin Silinder??,health,0.85,not_health,False,ollama_enhanced
ikhsanqthii,7605260625496788244,Jadi begitulah info setelah saya telaah… kayaknya varietas yg biasa dibuat makan “edamame”juga sama ,not_health,0.85,health,False,ollama_enhanced
ikhsanqthii,7665983224971054357,Hospital Play-Play Eps.05 | Pusing karena kebanyakan kerja 🙏,health,0.7,not_health,False,ollama_enhanced
ikhsanqthii,7618169787897711873,Dan hati-hati2 biasanya serangan jantung mulai banyak pas lebaran 🫠🫠🫠,health,0.95,health,True,ollama_enhanced
ikhsanqthii,7677002948806724865,Obat cacing 👍 jgn lupa,health,0.95,health,True,ollama_enhanced
ikhsanqthii,7674227101460860180,Sebuah ilmu yang bermanfaat dari @Ayman Alatas,health,0.85,health,True,ollama_enhanced
ikhsanqthii,7629383768851205396,Demikian sekilas info 👍,health,0.8,health,True,ollama_enhanced
ikhsanqthii,7655920520289946901,😊,not_health,0.0,not_health,True,no_caption_learned
ikhsanqthii,7649617178324454677,Demikian sekilas ingfo 👍👍,health,0.7,health,True,ollama_enhanced
ikhsanqthii,7613742843504495892,Kalian yang ngekos oke kan guyss?,not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7676502319248297237,"jadi begitulah penyebab ""stress eating"".... jangan lupa dikelola stress nya",health,0.95,health,True,ollama_enhanced
ikhsanqthii,7591393457260956948,Benerin biji mata lo @ netizen STOP NGETAG GUE 🫵,not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7617238224552889620,Mindset menurut gue,health,0.65,health,True,ollama_enhanced
ikhsanqthii,7646320970860465429,Food Vlogger 😎😎,not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7675646419214077204,Replying to @roti.goreng,health,0.7,health,True,ollama_enhanced
ikhsanqthii,7663837453156896021,Jujur setiap keluar kota pasti ngeker tempat makan apa yg ada pns-nya. Gatau knp pasti valid itu ena,not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7622728890800262421,"Kalian boleh menghina idol kami, tapi jangan kami 💜🫶 Ucap netizen tiktok, bukan gueeee 🙏",not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7602098051376745749,Jadi demikian sekilas info 🙏,health,0.8,health,True,ollama_enhanced
ikhsanqthii,7665348170565553424,"Yang gak terlihat tuh belum tentu gak terjadi yaa guysss!! Di mulut, bakteri tetap aktif 24/7. Makan",health,0.95,health,True,ollama_enhanced
ikhsanqthii,7673759077301767444,Yang satu motoriknya jelek banget @Ayman Alatas yang satu motoriknya terlalu over @Doklip✨ | Alip Hi,not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7676113285267197205,Buat yang badannya sering gampang drop 🙏,health,0.85,health,True,ollama_enhanced
ikhsanqthii,7652949141139524885,Jangan lupaa ikutannn 🤣🤣🤣,not_health,0.85,not_health,True,ollama_enhanced
ikhsanqthii,7624157641656241429,Aku doain semoga kalian semua yg udah nonton video ini bisa segera diundang ke tanah suci ya… aamiin,not_health,0.95,not_health,True,ollama_enhanced
ikhsanqthii,7665500934675418389,Siapa yang udah pernah kena ambeien? 😅,health,0.95,health,True,ollama_enhanced
ikhsanqthii,7657793069416287508,Buat temen2 perempuan diluar sana selalu aware ya dengan pola/siklus mens kalian. Ini udah dijelasin,health,0.95,health,True,ollama_enhanced
