username,video_id,description,predicted_label,predicted_confidence,check_this,method,reviewed_at
drkevinmak,7621870587429915922,Paha & betis pegel terus jangan cuma dibilang capek 😅 Bisa jadi tubuh lagi kekurangan magnesium—mine,not_health,1.0,False,manual_labeled,
ikhsanqthii,7627459902327262485,"Kalau kalian sering ngantuk habis makan itu bisa aja disebabin karena hipoglikemia reaktif, intinya ",health,1.0,False,manual_labeled,
ikhsanqthii,7652949141139524885,Jangan lupaa ikutannn 🤣🤣🤣,not_health,1.0,False,manual_labeled,
drrichardlee,7671208856650894600,"doktif di tegur hakim, pesan terakhir menohok. Post by admin",not_health,1.0,False,manual_labeled,
dr.ziee,7648264637317795080,"Selain ganggu orang orang, ternyata bau mulut itu salah satu tanda kalo mulut kamu bermasalah. That’",health,1.0,False,manual_labeled,
gelarsramdhani,7661443433193573650,Membalas @caaaaaaaaaaaaaaaaa209 Gigi berlubang apakah harus dicabut?,health,1.0,False,manual_labeled,
roozzaak,7671218519186459924,Membalas @ecerahya27 #fyp #fypシ #DokterGemoy #edukasi #edukasikesehatan,health,1.0,False,manual_labeled,
drkevinmak,7604822591093837064,Replying to @Kikoo 🧊 kalau kamu udah rutin minum magnesium glycinate? Coba spill pengalaman kamu dib,health,1.0,False,manual_labeled,
tirtacipeng,7617353063149440276,Habis makan trus rebahan bisa jadi gemuk?,health,1.0,False,manual_labeled,
aymanalts,7621766350595296530,,not_health,1.0,False,manual_labeled,
itsdoktermuda,7649767560648461588,Semangaat yaa orangtua2 anak pejuang diabetes tipe 1💪🏻 vid faauifa_ & zahrenaa,health,1.0,False,manual_labeled,
aymanalts,7666717386950675730,Tips milih sunscreen #skincare #tipsandtricks,health,1.0,False,manual_labeled,
roozzaak,7619176500042009877,Membalas @Nurjana #fyp #fypシ #DokterGemoy #cessa #transpulminbaby,health,1.0,False,manual_labeled,
bidancynthia,7622273338928270613,Ada yang minum pas Lebaran kemarin bumil? #sirup #ibuhamil,health,1.0,False,manual_labeled,
bidancynthia,7657836724436864277,Perkembangannya udah bisa apa aja bun?,not_health,1.0,False,manual_labeled,
tirtacipeng,7675924973638143252,Kegiatan bapak2 absurd nan gabut sebelum ke toko.,not_health,1.0,False,manual_labeled,
dokter_ika,7668118055746014472,Replying to @mbak choy Perbedaan utama terletak pada cara dan waktu pelepasan sel kulit tersebut.Man,health,1.0,False,manual_labeled,
tirtacipeng,7595197312930958610,Kegiatan sore2 manusia ber-privilege 🫶🫶🫶 • • • • Nb: konten ini cuma guyonan belaka,not_health,1.0,False,manual_labeled,
ikhsanqthii,7657793069416287508,Buat temen2 perempuan diluar sana selalu aware ya dengan pola/siklus mens kalian. Ini udah dijelasin,health,1.0,False,manual_labeled,
dokteramiraobgyn,7607071577439489300,kalau kalian mau tau simak #dokterobgynpedalaman#papua#fyp,health,1.0,False,manual_labeled,
roozzaak,7608863221616856341,Membalas @Kapuchiri96 #fyp #fypシ #DokterGemoy #vitaminD #vitaminD3,health,1.0,False,manual_labeled,
dokter.harmonospanak,7644923267869854996,Praktek spesialis anak Hub admin :kak Fatimah 0812 . 3024 . 6181kak Wulan 0858 . 1565 . 2806Google M,health,1.0,False,manual_labeled,
doktermatahendra,7638179610819169554,Manfaat salad bagi mata? Menjaga kesehatan mata ternyata bukan cuma soal kacamata atau vitamin 👀🥗 Ap,health,1.0,False,manual_labeled,
drkevinmak,7627129495513910546,"Semakin dewasa, ternyata yang kita lawan bukan orang lain… tapi pikiran sendiri. Overthinking soal m",health,1.0,False,manual_labeled,
dokter.harmonospanak,7647352582100307221,Alamat : lokasidari klenteng Mojosari 200 meterke utara arah Krian. Depan SMAN MOJOSARI telp.WA. 081,not_health,1.0,False,manual_labeled,
dokter_ika,7664094492076608786,#belajarbersamadrika #Edukasidrika #stoppenyalahgunaanobatkeras #StopMerkuri #waspadakrimberbahaya,health,1.0,False,manual_labeled,
aymanalts,7666836345477729544,,health,1.0,False,manual_labeled,
bidancynthia,7677913862556912917,"Membalas @less.sugar kalo lagi menyusui takut asi jadi seret ,ini pilihannya semoga ga bingung lagi ",health,1.0,False,manual_labeled,
tirtacipeng,7617837119041588500,Serba serbi mudik bareng @bearbrand_indonesia #RasakanKemurniannya,not_health,1.0,False,manual_labeled,
bidancynthia,7649119829269613844,"Baby boy nen’nya kuat bgt ,nen terus sampe brat bret brot 😅 Alhamdulillah Full ASI #mengasihi #busui",not_health,1.0,False,manual_labeled,
dokteramiraobgyn,7598078806976400660,ini buktinya kalau kalian tetap ngeyell #dokterobgynpedalaman#papua#fyp,health,1.0,False,manual_labeled,
aymanalts,7676327768585506066,,health,1.0,False,manual_labeled,
roozzaak,7604059114154642709,Membalas @mdysean #fyp #fypシ #DokterGemoy #edukasi #edukasitiktok,health,1.0,False,manual_labeled,
drkevinmak,7623424313151999239,Kalau kamu masih breakout parah ga beres lebaran? Jangan lupa zinc nya 1x sehari setelah makan siang,health,1.0,False,manual_labeled,
