video_id,author_name,video_url,desc,like_count,comment_count,share_count,save_count,post_date_utc,scraped_at
7676367432956644628,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7676367432956644628,Ada yg suka pake pomade juga kayak saya? Jooosss @Barber Daily,140,9,9,12,2026-08-21 06:26:10,2026-09-01T13:46:57.673813
7676326727013977365,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7676326727013977365,Sebagai pengguna id buzz 1 tahun dan udah otw 10rebu km.Intinye: jos jus vw indonesia,24.9K,208,232,701,2026-08-21 03:48:12,2026-09-01T13:47:33.934604
7674846227241962773,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7674846227241962773,#onthisday,967,21,29,41,2026-08-17 04:03:07,2026-09-01T13:48:03.346259
7673517908093308181,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7673517908093308181,Buat kalian yg hobi bandingin diri sendiri dengan orang lain,565.6K,6191,55.7K,66.6K,2026-08-13 14:08:33,2026-09-01T13:48:47.402310
7672998902500478228,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7672998902500478228,Kamu cerdas?,7993,292,461,464,2026-08-12 04:34:33,2026-09-01T13:49:20.337396
7677923858002758932,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7677923858002758932,Petuah dari bung fuad ketika bermedsos.,1230,20,18,39,2026-08-25 11:05:53,2026-09-01T13:49:51.533020
7677580098886765844,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7677580098886765844,🙏🙏🙏🙏,8254,250,179,204,2026-08-24 12:51:56,2026-09-01T13:50:32.945641
7674545116262059285,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7674545116262059285,"Buat kalian cowo-cowo yang mambu kelek, udah pakai deodoran malah bajunya jadi kuning-kuning. Tonton video ini!#NiveaDeoBW",27.2K,740,2491,2246,2026-08-16 08:34:39,2026-09-01T13:51:08.852707
7675569675253665045,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7675569675253665045,"Kegiatan bapak2 gabut di hari rabu: melakukan “cindy challenge” pertama kali.5x pullup10x pushup15x squatIni diitung 1 roundLakukan sebanyak2 nya dalam 20 menit dengan full RoMBajilak, today pertama coba, saya cuma kuat 11 round. 😭 tom holland bisa 27 round. Pantes jadi spiderman 🗿Mari kita latihan rutin agar next minimal banget bisa tembus 15-16 roundVideo dipercepat 20x, tidak ada yg dicut.Jujur ini berat banget, rasanya kaya lari 5k push abis2 an 😭",2076,81,85,133,2026-08-19 02:50:27,2026-09-01T13:51:47.810654
7676714249753939220,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7676714249753939220,"Belasungkawa untuk karhutla di kalimantan dan gempa ntt, serta indeks Kualitas udara yg menurun di jakarta.",Like,Comments,Share,Favorites,2026-08-22 04:51:59,2026-09-01T13:52:32.331432
7679350988909612309,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7679350988909612309,"Pas sepedaan, butuh yang adem-adem yo jelas @SehatAQUA buooosss#AQUAdeminKamu",6439,125,422,269,2026-08-29 07:23:53,2026-09-01T13:53:23.963347
7674243118715194645,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7674243118715194645,Kegiatan bapak2 di hari sabtu.Pagi lariMalamnya angkat beban x kalistenik.,18.3K,521,574,630,2026-08-15 13:02:44,2026-09-01T13:54:24.305213
7673783229266234645,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7673783229266234645,#onthisday,6197,66,297,432,2026-08-14 07:18:08,2026-09-01T13:55:17.667681
7674222668568153365,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7674222668568153365,darah tinggi,47K,559,3742,5297,2026-08-15 11:43:23,2026-09-01T13:56:02.800370
7675924973638143252,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7675924973638143252,Kegiatan bapak2 absurd nan gabut sebelum ke toko.,1111,64,36,23,2026-08-20 01:49:12,2026-09-01T13:56:49.683635
7677460126520970516,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7677460126520970516,Rutinitas latian bapak2 35 tahun.Gerakannya basic2 aja dan itu2 aja.yg penting konsisten.,7237,387,254,476,2026-08-24 05:06:22,2026-09-01T13:57:36.658389
7677923495820512532,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7677923495820512532,"Akibat overtraining,  bang ganindra bimo pernah kena saraf kejepit di leher (cervical) untung masih bisa dioperasi tepat waktu",9405,56,138,367,2026-08-25 11:04:29,2026-09-01T13:58:14.637481
7672565905548676373,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7672565905548676373,Setelah tak pikir-pikir,212.7K,3817,11.5K,7424,2026-08-11 00:34:18,2026-09-01T13:58:57.604914
7680067775364173076,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7680067775364173076,Bulking dan makan bergizi,11.4K,196,606,1111,2026-08-31 05:45:23,2026-09-01T13:59:46.332024
7679641498496814356,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7679641498496814356,Kehidupan bapak2 biasa saja di minggu pagi. Renang bareng anak.,5611,146,140,65,2026-08-30 02:11:13,2026-09-01T14:00:32.178622
7675619064739302676,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7675619064739302676,Stress release.,Like,Comments,Share,Favorites,2026-08-19 06:02:07,2026-09-01T14:01:28.756917
7677215215938850069,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7677215215938850069,Pola latihan ekstrim ganindra bimo sampe sarafnya kejepit,32.9K,151,623,2012,2026-08-23 13:16:00,2026-09-01T14:02:00.910486
7674975122414931220,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7674975122414931220,Harapan kami untuk bangsa ini.,Like,Comments,Share,Favorites,2026-08-17 12:23:17,2026-09-01T14:02:49.152504
7674856090084887828,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7674856090084887828,Lari 17.08 km lanjut pull day.,2522,146,43,32,2026-08-17 04:41:23,2026-09-01T14:03:58.167266
7673324228602531093,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7673324228602531093,"Buat bapak-bapak yang punya anak dan masih punya kebiasaan ngudud, tonton video ini sampe abis#SehatTanpaRokok #SobatStopSebat #RelaHidup #NRT",504.2K,7608,109.5K,48.7K,2026-08-13 01:36:59,2026-09-01T14:04:47.221184
7672341220055649557,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7672341220055649557,Kenapa ada kasur harganya muahal banget?,2852,31,159,131,2026-08-10 10:02:24,2026-09-01T14:05:33.344160
7675706925132139797,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7675706925132139797,Nonton konser sambil ngopi di launching Poskopi +62 @plusenamdua.idn RI Fest.Yang di sekitaran Jakarta tunggu gebrakan Poskopi +62 lainnya!,13.6K,173,600,308,2026-08-19 11:43:03,2026-09-01T14:06:13.249864
7677215741971614997,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7677215741971614997,Serba serbi klub sepakbola bareng bang fu,13.4K,296,305,419,2026-08-23 13:18:02,2026-09-01T14:06:42.186889
7672147583904533780,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7672147583904533780,#onthisday,9217,91,1482,939,2026-08-09 21:31:00,2026-09-01T14:07:11.862632
7678913858811038997,tirtacipeng,https://www.tiktok.com/@tirtacipeng/video/7678913858811038997,Otak,107.5K,1360,14.6K,3116,2026-08-28 03:07:36,2026-09-01T14:07:41.687029
